EndDate	EndDeaths	STATE-COUNTY	StartDate	StartDeaths	POPESTIMATE2020	ST_ABBR	VaxStartDate	Series_Complete_Yes_Start	Administered_Dose1_Recip_Start	VaxEndDate	Series_Complete_Yes_End	Administered_Dose1_Recip_End	Deaths	Series_Complete_Yes_Mid	Administered_Dose1_Recip_Mid	FullVaxPer100	OnePlusVaxPer100	DeathsPer100k
2021-04-30	150	AL-DALLAS	2021-03-01	141	36098	AL	2021-01-30	197	1575	2021-03-31	4612	8158	9	2404.5	4866.5	6.7	13.5	24.9
2021-04-30	185	AL-DEKALB	2021-03-01	175	71658	AL	2021-01-30	388	3371	2021-03-31	5114	8766	10	2751.0	6068.5	3.8	8.5	14.0
2021-04-30	205	AL-ELMORE	2021-03-01	185	82158	AL	2021-01-30	597	3202	2021-03-31	7891	13675	20	4244.0	8438.5	5.2	10.3	24.3
2021-04-30	75	AL-ESCAMBIA	2021-03-01	72	36281	AL	2021-01-30	136	2169	2021-03-31	3797	6800	3	1966.5	4484.5	5.4	12.4	8.3
2021-04-30	352	AL-ETOWAH	2021-03-01	319	102371	AL	2021-01-30	974	6333	2021-03-31	10242	16757	33	5608.0	11545.0	5.5	11.3	32.2
2021-04-30	62	AL-FAYETTE	2021-03-01	56	16241	AL	2021-01-30	154	642	2021-03-31	1683	2485	6	918.5	1563.5	5.7	9.6	36.9
2021-04-30	82	AL-FRANKLIN	2021-03-01	77	31507	AL	2021-01-30	412	2323	2021-03-31	3944	6281	5	2178.0	4302.0	6.9	13.7	15.9
2021-04-30	75	AL-GENEVA	2021-03-01	70	26411	AL	2021-01-30	165	1532	2021-03-31	2937	5066	5	1551.0	3299.0	5.9	12.5	18.9
2021-04-30	34	AL-GREENE	2021-03-01	32	7990	AL	2021-01-30	0	0	2021-03-31	920	2091	2	460.0	1045.5	5.8	13.1	25.0
2021-04-30	75	AL-HALE	2021-03-01	68	14670	AL	2021-01-30	266	986	2021-03-31	2523	3720	7	1394.5	2353.0	9.5	16.0	47.7
2021-04-30	44	AL-HENRY	2021-03-01	41	17223	AL	2021-01-30	152	1181	2021-03-31	2343	3830	3	1247.5	2505.5	7.2	14.5	17.4
2021-04-30	280	AL-HOUSTON	2021-03-01	261	106580	AL	2021-01-30	1304	6019	2021-03-31	13978	22619	19	7641.0	14319.0	7.2	13.4	17.8
2021-04-30	110	AL-JACKSON	2021-03-01	102	51582	AL	2021-01-30	769	4220	2021-03-31	7468	11249	8	4118.5	7734.5	8.0	15.0	15.5
2021-04-30	1517	AL-JEFFERSON	2021-03-01	1374	655342	AL	2021-01-30	10135	44180	2021-03-31	88181	164347	143	49158.0	104263.5	7.5	15.9	21.8
2021-04-30	34	AL-LAMAR	2021-03-01	33	13764	AL	2021-01-30	191	1034	2021-03-31	1939	2536	1	1065.0	1785.0	7.7	13.0	7.3
2021-04-30	237	AL-LAUDERDALE	2021-03-01	211	93368	AL	2021-01-30	1169	7015	2021-03-31	13133	21227	26	7151.0	14121.0	7.7	15.1	27.8
2021-04-30	97	AL-LAWRENCE	2021-03-01	84	32857	AL	2021-01-30	283	2351	2021-03-31	4322	7147	13	2302.5	4749.0	7.0	14.5	39.6
2021-04-30	168	AL-LEE	2021-03-01	153	166831	AL	2021-01-30	1757	10932	2021-03-31	22142	34195	15	11949.5	22563.5	7.2	13.5	9.0
2021-04-30	150	AL-LIMESTONE	2021-03-01	134	102228	AL	2021-01-30	820	4032	2021-03-31	9801	12793	16	5310.5	8412.5	5.2	8.2	15.7
2021-04-30	53	AL-LOWNDES	2021-03-01	51	9641	AL	2021-01-30	0	0	2021-03-31	867	1881	2	433.5	940.5	4.5	9.8	20.7
2021-04-30	49	AL-MACON	2021-03-01	43	17895	AL	2021-01-30	205	1131	2021-03-31	2771	4476	6	1488.0	2803.5	8.3	15.7	33.5
2021-04-30	498	AL-MADISON	2021-03-01	455	379453	AL	2021-01-30	5317	21127	2021-03-31	52799	92179	43	29058.0	56653.0	7.7	14.9	11.3
2021-04-30	64	AL-MARENGO	2021-03-01	55	18733	AL	2021-01-30	190	1401	2021-03-31	2500	4224	9	1345.0	2812.5	7.2	15.0	48.0
2021-04-30	100	AL-MARION	2021-03-01	95	29703	AL	2021-01-30	450	1942	2021-03-31	3129	4952	5	1789.5	3447.0	6.0	11.6	16.8
2021-04-30	221	AL-MARSHALL	2021-03-01	209	96990	AL	2021-01-30	1134	7367	2021-03-31	9630	15793	12	5382.0	11580.0	5.5	11.9	12.4
2021-04-30	804	AL-MOBILE	2021-03-01	727	412716	AL	2021-01-30	4751	20602	2021-03-31	52972	81498	77	28861.5	51050.0	7.0	12.4	18.7
2021-04-30	40	AL-MONROE	2021-03-01	39	20459	AL	2021-01-30	90	1570	2021-03-31	2716	4609	1	1403.0	3089.5	6.9	15.1	4.9
2021-04-30	584	AL-MONTGOMERY	2021-03-01	500	224639	AL	2021-01-30	2028	10148	2021-03-31	29268	49139	84	15648.0	29643.5	7.0	13.2	37.4
2021-04-30	278	AL-MORGAN	2021-03-01	251	119883	AL	2021-01-30	1180	7094	2021-03-31	14253	22429	27	7716.5	14761.5	6.4	12.3	22.5
2021-04-30	59	AL-PICKENS	2021-03-01	54	19793	AL	2021-01-30	199	1067	2021-03-31	2501	4261	5	1350.0	2664.0	6.8	13.5	25.3
2021-04-30	77	AL-PIKE	2021-03-01	72	32966	AL	2021-01-30	175	1892	2021-03-31	3622	6372	5	1898.5	4132.0	5.8	12.5	15.2
2021-04-30	41	AL-RANDOLPH	2021-03-01	40	22920	AL	2021-01-30	0	0	2021-03-31	2566	3890	1	1283.0	1945.0	5.6	8.5	4.4
2021-04-30	38	AL-RUSSELL	2021-03-01	30	58237	AL	2021-01-30	183	1644	2021-03-31	4510	8354	8	2346.5	4999.0	4.0	8.6	13.7
2021-04-30	246	AL-SHELBY	2021-03-01	215	221428	AL	2021-01-30	1641	7501	2021-03-31	15027	28932	31	8334.0	18216.5	3.8	8.2	14.0
2021-04-30	237	AL-ST. CLAIR	2021-03-01	223	90739	AL	2021-01-30	474	3845	2021-03-31	6674	13114	14	3574.0	8479.5	3.9	9.3	15.4
2021-04-30	32	AL-SUMTER	2021-03-01	31	12225	AL	2021-01-30	66	877	2021-03-31	1690	3275	1	878.0	2076.0	7.2	17.0	8.2
2021-04-30	175	AL-TALLADEGA	2021-03-01	163	79985	AL	2021-01-30	538	3612	2021-03-31	7828	10768	12	4183.0	7190.0	5.2	9.0	15.0
2021-04-30	149	AL-TALLAPOOSA	2021-03-01	142	40133	AL	2021-01-30	450	2192	2021-03-31	4657	6783	7	2553.5	4487.5	6.4	11.2	17.4
2021-04-30	449	AL-TUSCALOOSA	2021-03-01	410	210758	AL	2021-01-30	2057	8077	2021-03-31	23701	31816	39	12879.0	19946.5	6.1	9.5	18.5
2021-04-30	278	AL-WALKER	2021-03-01	255	63143	AL	2021-01-30	675	3681	2021-03-31	7575	11793	23	4125.0	7737.0	6.5	12.3	36.4
2021-04-30	39	AL-WASHINGTON	2021-03-01	35	15976	AL	2021-01-30	75	1032	2021-03-31	2286	2938	4	1180.5	1985.0	7.4	12.4	25.0
2021-04-30	27	AL-WILCOX	2021-03-01	25	10206	AL	2021-01-30	0	0	2021-03-31	1600	2588	2	800.0	1294.0	7.8	12.7	19.6
2021-04-30	72	AL-WINSTON	2021-03-01	67	23508	AL	2021-01-30	118	970	2021-03-31	1560	2355	5	839.0	1662.5	3.6	7.1	21.3
2021-04-30	3	AK-ALEUTIANS EAST BOROUGH	2021-03-01	1	3401	AK	2021-01-30	0	0	2021-03-31	628	1133	2	314.0	566.5	9.2	16.7	58.8
2021-04-30	0	AK-ALEUTIANS WEST CENSUS AREA	2021-03-01	0	5680	AK	2021-01-30	86	465	2021-03-31	821	1940	0	453.5	1202.5	8.0	21.2	0.0
2021-04-30	21	AK-BETHEL CENSUS AREA	2021-03-01	19	18437	AK	2021-01-30	1402	4199	2021-03-31	6465	7529	2	3933.5	5864.0	21.3	31.8	10.8
2021-04-30	0	AK-DENALI BOROUGH	2021-03-01	0	2081	AK	2021-01-30	25	199	2021-03-31	337	434	0	181.0	316.5	8.7	15.2	0.0
2021-04-30	2	AK-DILLINGHAM CENSUS AREA	2021-03-01	1	4833	AK	2021-01-30	0	0	2021-03-31	1391	1561	1	695.5	780.5	14.4	16.1	20.7
2021-04-30	37	AK-FAIRBANKS NORTH STAR BOROUGH	2021-03-01	29	95651	AK	2021-01-30	1716	8345	2021-03-31	15738	25574	8	8727.0	16959.5	9.1	17.7	8.4
2021-04-30	0	AK-HAINES BOROUGH	2021-03-01	0	2614	AK	2021-01-30	322	926	2021-03-31	1132	1207	0	727.0	1066.5	27.8	40.8	0.0
2021-04-30	3	AK-JUNEAU CITY AND BOROUGH	2021-03-01	3	31849	AK	2021-01-30	1342	5022	2021-03-31	7942	14398	0	4642.0	9710.0	14.6	30.5	0.0
2021-04-30	19	AK-KENAI PENINSULA BOROUGH	2021-03-01	19	59414	AK	2021-01-30	1564	5756	2021-03-31	11983	16619	0	6773.5	11187.5	11.4	18.8	0.0
2021-04-30	5	AK-KODIAK ISLAND BOROUGH	2021-03-01	5	12992	AK	2021-01-30	536	1840	2021-03-31	3854	4978	0	2195.0	3409.0	16.9	26.2	0.0
2021-04-30	4	AK-KUSILVAK CENSUS AREA	2021-03-01	3	8328	AK	2021-01-30	657	1706	2021-03-31	2425	3040	1	1541.0	2373.0	18.5	28.5	12.0
2021-04-30	45	AK-MATANUSKA-SUSITNA BOROUGH	2021-03-01	34	110213	AK	2021-01-30	1365	8507	2021-03-31	15833	21002	11	8599.0	14754.5	7.8	13.4	10.0
2021-04-30	0	AK-NOME CENSUS AREA	2021-03-01	0	9909	AK	2021-01-30	1589	3063	2021-03-31	4254	4616	0	2921.5	3839.5	29.5	38.7	0.0
2021-04-30	4	AK-NORTH SLOPE BOROUGH	2021-03-01	4	9294	AK	2021-01-30	285	956	2021-03-31	2024	2292	0	1154.5	1624.0	12.4	17.5	0.0
2021-04-30	2	AK-NORTHWEST ARCTIC BOROUGH	2021-03-01	2	7644	AK	2021-01-30	1094	1788	2021-03-31	2289	2658	0	1691.5	2223.0	22.1	29.1	0.0
2021-04-30	1	AK-PRINCE OF WALES-HYDER CENSUS AREA	2021-03-01	1	6147	AK	2021-01-30	408	1159	2021-03-31	1740	2037	0	1074.0	1598.0	17.5	26.0	0.0
2021-04-30	0	AK-SITKA CITY AND BOROUGH	2021-03-01	0	8405	AK	2021-01-30	1276	2403	2021-03-31	4093	4249	0	2684.5	3326.0	31.9	39.6	0.0
2021-04-30	0	AK-SKAGWAY MUNICIPALITY	2021-03-01	0	1179	AK	2021-01-30	57	359	2021-03-31	623	660	0	340.0	509.5	28.8	43.2	0.0
2021-04-30	4	AK-SOUTHEAST FAIRBANKS CENSUS AREA	2021-03-01	3	6957	AK	2021-01-30	68	655	2021-03-31	1056	1318	1	562.0	986.5	8.1	14.2	14.4
2021-04-30	0	AK-WRANGELL CITY AND BOROUGH	2021-03-01	0	2510	AK	2021-01-30	308	551	2021-03-31	879	935	0	593.5	743.0	23.6	29.6	0.0
2021-04-30	4	AK-YUKON-KOYUKUK CENSUS AREA	2021-03-01	4	5077	AK	2021-01-30	255	1352	2021-03-31	2160	2435	0	1207.5	1893.5	23.8	37.3	0.0
2021-04-30	427	AZ-APACHE	2021-03-01	383	71875	AZ	2021-01-30	2226	9714	2021-03-31	28590	35938	44	15408.0	22826.0	21.4	31.8	61.2
2021-04-30	284	AZ-COCHISE	2021-03-01	266	127450	AZ	2021-01-30	1129	9199	2021-03-31	20006	37786	18	10567.5	23492.5	8.3	18.4	14.1
2021-04-30	329	AZ-COCONINO	2021-03-01	311	142481	AZ	2021-01-30	3277	16958	2021-03-31	47433	68831	18	25355.0	42894.5	17.8	30.1	12.6
2021-04-30	227	AZ-GILA	2021-03-01	214	54303	AZ	2021-01-30	1816	5748	2021-03-31	15653	21558	13	8734.5	13653.0	16.1	25.1	23.9
2021-04-30	77	AZ-GRAHAM	2021-03-01	73	39211	AZ	2021-01-30	447	3058	2021-03-31	8339	12419	4	4393.0	7738.5	11.2	19.7	10.2
2021-04-30	10	AZ-GREENLEE	2021-03-01	10	9341	AZ	2021-01-30	96	1425	2021-03-31	2291	2837	0	1193.5	2131.0	12.8	22.8	0.0
2021-04-30	80	AZ-LA PAZ	2021-03-01	71	21480	AZ	2021-01-30	134	1472	2021-03-31	3712	6251	9	1923.0	3861.5	9.0	18.0	41.9
2021-04-30	9875	AZ-MARICOPA	2021-03-01	9116	4579081	AZ	2021-01-30	65920	297421	2021-03-31	702815	1193170	759	384367.5	745295.5	8.4	16.3	16.6
2021-04-30	712	AZ-MOHAVE	2021-03-01	643	217206	AZ	2021-01-30	1626	9514	2021-03-31	20976	44151	69	11301.0	26832.5	5.2	12.4	31.8
2021-04-30	531	AZ-NAVAJO	2021-03-01	492	112112	AZ	2021-01-30	4100	15346	2021-03-31	31695	43805	39	17897.5	29575.5	16.0	26.4	34.8
2021-04-30	2392	AZ-PIMA	2021-03-01	2216	1061175	AZ	2021-01-30	19480	93201	2021-03-31	203134	360988	176	111307.0	227094.5	10.5	21.4	16.6
2021-04-30	871	AZ-PINAL	2021-03-01	767	480828	AZ	2021-01-30	3888	25270	2021-03-31	68633	117292	104	36260.5	71281.0	7.5	14.8	21.6
2021-04-30	176	AZ-SANTA CRUZ	2021-03-01	168	46808	AZ	2021-01-30	381	4531	2021-03-31	10255	19673	8	5318.0	12102.0	11.4	25.9	17.1
2021-04-30	502	AZ-YAVAPAI	2021-03-01	460	240226	AZ	2021-01-30	1729	18326	2021-03-31	43892	70118	42	22810.5	44222.0	9.5	18.4	17.5
2021-04-30	831	AZ-YUMA	2021-03-01	789	217824	AZ	2021-01-30	2591	13037	2021-03-31	28205	57558	42	15398.0	35297.5	7.1	16.2	19.3
2021-04-30	36	AR-ARKANSAS	2021-03-01	33	3030522	AR	2021-01-30	344	1617	2021-03-31	2981	5204	3	1662.5	3410.5	0.1	0.1	0.1
2021-04-30	36	AR-ARKANSAS	2021-03-01	33	17383	AR	2021-01-30	344	1617	2021-03-31	2981	5204	3	1662.5	3410.5	9.6	19.6	17.3
2021-04-30	34	AR-ASHLEY	2021-03-01	29	19339	AR	2021-01-30	246	1353	2021-03-31	2458	4538	5	1352.0	2945.5	7.0	15.2	25.9
2021-04-30	103	AR-BAXTER	2021-03-01	94	42242	AR	2021-01-30	853	3079	2021-03-31	5923	8964	9	3388.0	6021.5	8.0	14.3	21.3
2021-04-30	414	AR-BENTON	2021-03-01	379	288774	AR	2021-01-30	3576	15011	2021-03-31	29446	57686	35	16511.0	36348.5	5.7	12.6	12.1
2021-04-30	80	AR-BOONE	2021-03-01	73	37625	AR	2021-01-30	604	2614	2021-03-31	4531	7556	7	2567.5	5085.0	6.8	13.5	18.6
2021-04-30	32	AR-BRADLEY	2021-03-01	30	10639	AR	2021-01-30	137	984	2021-03-31	1605	2932	2	871.0	1958.0	8.2	18.4	18.8
2021-04-30	3	AR-CALHOUN	2021-03-01	2	5113	AR	2021-01-30	0	0	2021-03-31	571	986	1	285.5	493.0	5.6	9.6	19.6
2021-04-30	45	AR-CARROLL	2021-03-01	42	28276	AR	2021-01-30	201	1518	2021-03-31	3947	6553	3	2074.0	4035.5	7.3	14.3	10.6
2021-04-30	41	AR-CHICOT	2021-03-01	38	9924	AR	2021-01-30	172	764	2021-03-31	1498	2824	3	835.0	1794.0	8.4	18.1	30.2
2021-04-30	41	AR-CLARK	2021-03-01	37	22103	AR	2021-01-30	226	2032	2021-03-31	3663	5591	4	1944.5	3811.5	8.8	17.2	18.1
2021-04-30	50	AR-CLAY	2021-03-01	48	14375	AR	2021-01-30	262	1408	2021-03-31	2392	3858	2	1327.0	2633.0	9.2	18.3	13.9
2021-04-30	74	AR-CLEBURNE	2021-03-01	64	24935	AR	2021-01-30	148	1811	2021-03-31	3472	5951	10	1810.0	3881.0	7.3	15.6	40.1
2021-04-30	25	AR-CLEVELAND	2021-03-01	24	7957	AR	2021-01-30	204	885	2021-03-31	1387	2237	1	795.5	1561.0	10.0	19.6	12.6
2021-04-30	56	AR-COLUMBIA	2021-03-01	53	23331	AR	2021-01-30	186	1427	2021-03-31	3141	5447	3	1663.5	3437.0	7.1	14.7	12.9
2021-04-30	32	AR-CONWAY	2021-03-01	30	21037	AR	2021-01-30	248	1464	2021-03-31	3356	5929	2	1802.0	3696.5	8.6	17.6	9.5
2021-04-30	178	AR-CRAIGHEAD	2021-03-01	168	112245	AR	2021-01-30	3287	10663	2021-03-31	14776	25712	10	9031.5	18187.5	8.0	16.2	8.9
2021-04-30	119	AR-CRAWFORD	2021-03-01	102	63409	AR	2021-01-30	975	4250	2021-03-31	7179	12054	17	4077.0	8152.0	6.4	12.9	26.8
2021-04-30	96	AR-CRITTENDEN	2021-03-01	90	47616	AR	2021-01-30	391	2449	2021-03-31	5332	8642	6	2861.5	5545.5	6.0	11.6	12.6
2021-04-30	50	AR-CROSS	2021-03-01	47	16142	AR	2021-01-30	204	1336	2021-03-31	2342	4196	3	1273.0	2766.0	7.9	17.1	18.6
2021-04-30	15	AR-DALLAS	2021-03-01	12	6802	AR	2021-01-30	97	714	2021-03-31	1216	2247	3	656.5	1480.5	9.7	21.8	44.1
2021-04-30	24	AR-DESHA	2021-03-01	21	11110	AR	2021-01-30	169	1044	2021-03-31	1988	3641	3	1078.5	2342.5	9.7	21.1	27.0
2021-04-30	43	AR-DREW	2021-03-01	35	17977	AR	2021-01-30	350	1573	2021-03-31	2748	4670	8	1549.0	3121.5	8.6	17.4	44.5
2021-04-30	161	AR-FAULKNER	2021-03-01	149	126919	AR	2021-01-30	2685	10261	2021-03-31	18958	31667	12	10821.5	20964.0	8.5	16.5	9.5
2021-04-30	39	AR-FRANKLIN	2021-03-01	37	17897	AR	2021-01-30	336	2006	2021-03-31	2997	4570	2	1666.5	3288.0	9.3	18.4	11.2
2021-04-30	47	AR-FULTON	2021-03-01	46	12381	AR	2021-01-30	0	0	2021-03-31	1214	2026	1	607.0	1013.0	4.9	8.2	8.1
2021-04-30	259	AR-GARLAND	2021-03-01	231	99789	AR	2021-01-30	1964	8498	2021-03-31	15315	26793	28	8639.5	17645.5	8.7	17.7	28.1
2021-04-30	32	AR-GRANT	2021-03-01	31	18449	AR	2021-01-30	277	1186	2021-03-31	2206	3998	1	1241.5	2592.0	6.7	14.0	5.4
2021-04-30	75	AR-GREENE	2021-03-01	72	45597	AR	2021-01-30	948	3733	2021-03-31	6040	10552	3	3494.0	7142.5	7.7	15.7	6.6
2021-04-30	20	AR-HEMPSTEAD	2021-03-01	18	21253	AR	2021-01-30	79	607	2021-03-31	1527	3074	2	803.0	1840.5	3.8	8.7	9.4
2021-04-30	72	AR-HOT SPRING	2021-03-01	66	33787	AR	2021-01-30	398	2326	2021-03-31	4322	7536	6	2360.0	4931.0	7.0	14.6	17.8
2021-04-30	25	AR-HOWARD	2021-03-01	23	13109	AR	2021-01-30	148	949	2021-03-31	1901	3259	2	1024.5	2104.0	7.8	16.1	15.3
2021-04-30	123	AR-INDEPENDENCE	2021-03-01	116	37757	AR	2021-01-30	465	2620	2021-03-31	3954	7021	7	2209.5	4820.5	5.9	12.8	18.5
2021-04-30	41	AR-IZARD	2021-03-01	41	13613	AR	2021-01-30	135	1277	2021-03-31	1803	2844	0	969.0	2060.5	7.1	15.1	0.0
2021-04-30	38	AR-JACKSON	2021-03-01	33	16636	AR	2021-01-30	177	1609	2021-03-31	2332	3677	5	1254.5	2643.0	7.5	15.9	30.1
2021-04-30	166	AR-JEFFERSON	2021-03-01	159	65377	AR	2021-01-30	987	4120	2021-03-31	7505	13697	7	4246.0	8908.5	6.5	13.6	10.7
2021-04-30	38	AR-JOHNSON	2021-03-01	30	26513	AR	2021-01-30	309	1684	2021-03-31	3321	6299	8	1815.0	3991.5	6.8	15.1	30.2
2021-04-30	9	AR-LAFAYETTE	2021-03-01	8	6596	AR	2021-01-30	0	0	2021-03-31	813	1309	1	406.5	654.5	6.2	9.9	15.2
2021-04-30	43	AR-LAWRENCE	2021-03-01	41	16410	AR	2021-01-30	203	1275	2021-03-31	2044	3847	2	1123.5	2561.0	6.8	15.6	12.2
2021-04-30	34	AR-LEE	2021-03-01	34	8513	AR	2021-01-30	62	461	2021-03-31	923	1693	0	492.5	1077.0	5.8	12.7	0.0
2021-04-30	48	AR-LINCOLN	2021-03-01	44	12944	AR	2021-01-30	98	693	2021-03-31	1323	2244	4	710.5	1468.5	5.5	11.3	30.9
2021-04-30	42	AR-LITTLE RIVER	2021-03-01	39	12180	AR	2021-01-30	54	592	2021-03-31	1065	1692	3	559.5	1142.0	4.6	9.4	24.6
2021-04-30	22	AR-LOGAN	2021-03-01	18	21410	AR	2021-01-30	381	1553	2021-03-31	2965	4788	4	1673.0	3170.5	7.8	14.8	18.7
2021-04-30	119	AR-LONOKE	2021-03-01	105	73921	AR	2021-01-30	1306	5674	2021-03-31	9079	16687	14	5192.5	11180.5	7.0	15.1	18.9
2021-04-30	23	AR-MADISON	2021-03-01	21	16644	AR	2021-01-30	121	745	2021-03-31	1608	2997	2	864.5	1871.0	5.2	11.2	12.0
2021-04-30	30	AR-MARION	2021-03-01	29	16790	AR	2021-01-30	141	749	2021-03-31	1488	3190	1	814.5	1969.5	4.9	11.7	6.0
2021-04-30	37	AR-MILLER	2021-03-01	31	43177	AR	2021-01-30	167	814	2021-03-31	1493	2656	6	830.0	1735.0	1.9	4.0	13.9
2021-04-30	107	AR-MISSISSIPPI	2021-03-01	105	40066	AR	2021-01-30	194	2306	2021-03-31	3958	7752	2	2076.0	5029.0	5.2	12.6	5.0
2021-04-30	17	AR-MONROE	2021-03-01	15	6584	AR	2021-01-30	0	0	2021-03-31	841	1907	2	420.5	953.5	6.4	14.5	30.4
2021-04-30	33	AR-MONTGOMERY	2021-03-01	29	9006	AR	2021-01-30	163	646	2021-03-31	1335	2004	4	749.0	1325.0	8.3	14.7	44.4
2021-04-30	24	AR-NEVADA	2021-03-01	23	8099	AR	2021-01-30	0	0	2021-03-31	806	1461	1	403.0	730.5	5.0	9.0	12.3
2021-04-30	26	AR-NEWTON	2021-03-01	26	7602	AR	2021-01-30	65	427	2021-03-31	786	1400	0	425.5	913.5	5.6	12.0	0.0
2021-04-30	61	AR-OUACHITA	2021-03-01	51	23167	AR	2021-01-30	273	1792	2021-03-31	2986	6508	10	1629.5	4150.0	7.0	17.9	43.2
2021-04-30	10	AR-PERRY	2021-03-01	9	10327	AR	2021-01-30	146	871	2021-03-31	1651	2825	1	898.5	1848.0	8.7	17.9	9.7
2021-04-30	38	AR-PHILLIPS	2021-03-01	34	17299	AR	2021-01-30	85	900	2021-03-31	2078	4003	4	1081.5	2451.5	6.3	14.2	23.1
2021-04-30	22	AR-PIKE	2021-03-01	22	10643	AR	2021-01-30	116	698	2021-03-31	1314	2537	0	715.0	1617.5	6.7	15.2	0.0
2021-04-30	77	AR-POINSETT	2021-03-01	73	23283	AR	2021-01-30	377	2062	2021-03-31	2903	5398	4	1640.0	3730.0	7.0	16.0	17.2
2021-04-30	72	AR-POLK	2021-03-01	65	19707	AR	2021-01-30	268	1168	2021-03-31	1707	3253	7	987.5	2210.5	5.0	11.2	35.5
2021-04-30	107	AR-POPE	2021-03-01	98	64334	AR	2021-01-30	826	4261	2021-03-31	8444	14842	9	4635.0	9551.5	7.2	14.8	14.0
2021-04-30	21	AR-PRAIRIE	2021-03-01	21	7966	AR	2021-01-30	118	550	2021-03-31	800	1409	0	459.0	979.5	5.8	12.3	0.0
